Scenario_ID,Strategy_Family,Id_Amplitude_A,Pulse_Frequency_Hz,Positive_Duty_Percent,LimitId_A,LimitFrequency_Hz,LimitDuty_Percent,LimitPhase_deg,LimitMode,LimitStatus,Expected_Id_Mean_A,HVPath_R_Ohm,DCLink_C_F,Rs_Ohm,R_batt_heat_ref_Ohm,C_batt_J_K,IGBT_Ron_Ohm,IGBT_Vf_V,IGBT_Eon_J,IGBT_Eoff_J,PWM_tdead_s,C_inv_J_K,Rth_inv_K_W,Ambient_K,Coolant_K,Audit_Publish_Guard_s,Window_Start_s,Window_Stop_s,Window_Duration_s,SimulationStop_s,ClosedLoop_Final,MaxAbsSpeed_rad_s,ReactionTorque_RMS_Nm,GateOverlap_Count,GateComplementMismatch_Count,IdRef_Min_A,IdRef_Max_A,IdRef_Mean_A,IdRef_RMS_A,IdRef_PositiveFraction,IdRef_Transition_Count,IdFb_Mean_A,IdFb_RMS_A,Id_Tracking_RMS_Error_A,IqFb_RMS_A,Vdc_Min_V,Vdc_Max_V,Vdc_Ripple_V,Ibatt_RMS_A,Idc_RMS_A,ModulationIndex_Mean,ModulationIndex_Max,VoltageMargin_Min_V,ControlSaturation_Any,T_batt_End_K,T_stator_End_K,T_rotor_End_K,P_batt_heat_Mean_W,P_cu_Mean_W,P_iron_Mean_W,P_inv_Mean_W,P_hv_loss_Model_W,P_batt_terminal_Model_W,P_dc_input_Model_W,P_dc_link_storage_Model_W,DeltaE_batt_Model_J,P_thermal_storage_Model_W,P_heat_rejection_Model_W,P_mech_Model_W,P_unmodeled_Model_W,Residual_dc_link_Model_W,EnergyLedgerValid_Final,ElectricalLedgerValid_Final,KPI_Final_Time_s,RMS_Window_Elapsed_Model_s,RMS_Window_Complete_Model,RMS_Window_s_Model,P_batt_terminal_Recalc_W,P_dc_input_Recalc_W,P_hv_loss_Recalc_W,DeltaE_batt_Recalc_J,P_dc_link_storage_Recalc_W,P_heat_input_Recalc_W,P_thermal_balance_Error_W,P_unmodeled_Recalc_W,Residual_dc_link_Recalc_W,P_batt_terminal_AbsError_W,P_dc_input_AbsError_W,P_hv_loss_AbsError_W,DeltaE_batt_AbsError_J,P_dc_link_storage_AbsError_W,P_unmodeled_AbsError_W,Residual_dc_link_AbsError_W,HVLoss_Coeff_Ohm,BattHeat_Coeff_Ohm,CuLoss_Coeff_Ohm,Edc_Formula_AbsError_J,DeviceProtection_Evaluable,DeviceProtection_Status
C00_Base,baseline,40,50,50,40,50,50,0,4,6,0,0.01,0.00047,0.013,0.4198,26000,0.001,0.8,0.02286,0.01714,1e-06,3.06,0.0966666666666667,263.15,263.15,1e-05,0.04,0.08,0.04,0.08001,1,0,2.00203145713679,0,0,-40,40,0,40,0.5,4,0.0639097911908096,39.7408008278413,13.7735407723578,7.57278822300397,63.2054281622221,73.9626875888486,10.7572594266265,5.49835831990364,16.8946964070023,0.498799588033883,0.949501193562048,3.50302513192063,0,263.150106688659,24.9566486683784,24.9998862666356,12.6913701810597,31.9152282522181,0,46.502857908744,0.604638884281071,100.916266775108,97.3460779688233,2.41530629174114,-4.5443054782467,-124.862999209503,216.577094435805,-0,19.4782354381237,0.550243630262585,1,1,0.08001,NaN,1,0.04,100.916266775108,97.3460779688231,0.604638884281072,-4.54430547824671,2.41530629174114,91.7140952263029,3.12638803734444e-13,19.4782354381237,0.550243630262656,9.9475983006414e-14,1.70530256582424e-13,7.7715611723761e-16,1.06581410364015e-14,0,0,7.105427357601e-14,0.02,0.4198,0.013,0,0,NOT_EVALUABLE
C01_Freq_Low,frequency,40,25,50,40,25,50,0,4,6,0,0.01,0.00047,0.013,0.4198,26000,0.001,0.8,0.02286,0.01714,1e-06,3.06,0.0966666666666667,263.15,263.15,1e-05,0.04,0.08,0.04,0.08001,1,0,1.24657413667535,0,0,-40,40,6.93889390390723e-15,40,0.5,2,-0.0802083333468401,40.4824283652002,11.4521973656494,4.79838898757278,63.1495493809396,73.2834394157289,10.1338900347893,7.24633581582179,22.032252088362,0.492418743052121,0.948959182251937,3.48901456491851,0,263.150114641358,24.9569765506616,24.9998867150288,22.0434388808268,32.4061050927827,0,45.8401632633722,1.05018765511323,102.307522208551,102.538231591132,-2.1810931292387,-4.97403844357514,-114.006482366576,215.346377258671,0,25.1921593265229,0.90019609154426,1,1,0.08001,NaN,1,0.04,102.30752220855,102.538231591132,1.05018765511323,-4.97403844357507,-2.1810931292387,101.339894892095,5.11590769747272e-13,25.1921593265229,0.900196091543705,7.105427357601e-13,1.56319401867222e-13,5.32907051820075e-15,7.105427357601e-14,0,0,5.54223333892878e-13,0.02,0.4198,0.013,0,0,NOT_EVALUABLE
C02_Freq_High,frequency,40,100,50,40,100,50,0,4,6,0,0.01,0.00047,0.013,0.4198,26000,0.001,0.8,0.02286,0.01714,1e-06,3.06,0.0966666666666667,263.15,263.15,1e-05,0.04,0.08,0.04,0.08001,1,0,1.61964650804947,0,0,-40,40,-2.08166817117217e-14,40,0.5,8,-0.106113549714049,39.0267171919492,17.959415303068,6.15522922173524,62.8583153212956,73.9630126905626,11.1046973692671,6.25830055089627,18.8607849124096,0.481327970183642,0.949983999886926,3.37509638744084,0,263.15010999805,24.9561131545972,24.9998854438041,16.4420235646893,30.4389442802735,0,44.5373056703947,0.783326515706975,98.3016040265041,98.4531496343233,-1.59309445703646,-4.58974510364777,-123.551043279068,215.752643310133,0,24.1351220171658,0.658222333510224,1,1,0.08001,NaN,1,0.04,98.3016040265046,98.4531496343224,0.783326515706972,-4.58974510364776,-1.59309445703646,92.2016000310646,-3.69482222595252e-13,24.1351220171658,0.658222333511659,5.25801624462474e-13,9.09494701772928e-13,2.44249065417534e-15,1.33226762955019e-14,0,0,1.4352963262354e-12,0.02,0.4198,0.013,0,0,NOT_EVALUABLE
C03_Duty_Low,duty_bias,40,50,25,40,50,25,0,4,6,-20,0.01,0.00047,0.013,0.4198,26000,0.001,0.8,0.02286,0.01714,1e-06,3.06,0.0966666666666667,263.15,263.15,1e-05,0.04,0.08,0.04,0.08001,1,0,2.0530329030911,0,0,-40,40,-20,40,0.25,4,-19.9335754766321,39.722416238467,13.6877694219286,7.72611155564909,63.27159906958,73.9393697923291,10.667770722749,5.4168060148588,16.8314666362409,0.501797774043933,0.949999976529757,3.47277241135956,0,263.15010184082,24.9566050163356,24.9998862449113,12.3176823516159,31.932481456051,0,46.5822488240016,0.586835748052209,101.205351279953,97.9573794866983,2.11508375310558,-4.54092134526277,-125.178921193338,216.598169573059,-0,19.9887014987428,0.54605229209713,1,1,0.08001,NaN,1,0.04,101.205351279953,97.9573794866987,0.58683574805221,-4.54092134526276,2.11508375310558,91.4192483797206,-2.27373675443232e-13,19.9887014987428,0.546052292096576,1.84741111297626e-13,3.69482222595252e-13,1.22124532708767e-15,1.4210854715202e-14,0,0,5.54223333892878e-13,0.02,0.4198,0.013,0,0,NOT_EVALUABLE
C04_Duty_High,duty_bias,40,50,75,40,50,75,0,4,6,20,0.01,0.00047,0.013,0.4198,26000,0.001,0.8,0.02286,0.01714,1e-06,3.06,0.0966666666666667,263.15,263.15,1e-05,0.04,0.08,0.04,0.08001,1,0,2.02046681173898,0,0,-40,40,20,40,0.75,4,20.056209735904,39.7456073527738,13.7690187190032,7.62261263053286,63.0319893517718,73.9706960960406,10.9387067442688,5.39831572596814,16.766495147705,0.494748496171599,0.949492004860094,3.43168573235568,0,263.150110335435,24.9566938078015,24.999886314117,12.2337329619032,31.9374417795426,0,46.529197052029,0.582836253544695,100.658032372212,97.2114803027705,2.32074299056861,-4.51567061336458,-125.33145760006,216.61466564708,-0,19.2878142965264,0.542972825328349,1,1,0.08001,NaN,1,0.04,100.658032372212,97.2114803027706,0.582836253544698,-4.51567061336459,2.32074299056861,91.2832080470195,-1.13686837721616e-13,19.2878142965264,0.54297282532761,6.53699316899292e-13,8.5265128291212e-14,2.88657986402541e-15,4.44089209850063e-15,0,0,7.38964445190504e-13,0.02,0.4198,0.013,0,0,NOT_EVALUABLE
C05_Amplitude_Low,amplitude,20,50,50,20,50,50,0,4,6,0,0.01,0.00047,0.013,0.4198,26000,0.001,0.8,0.02286,0.01714,1e-06,3.06,0.0966666666666667,263.15,263.15,1e-05,0.04,0.08,0.04,0.08001,1,0,2.73074616072118,0,0,-20,20,0,20,0.5,4,0.00809213994563442,19.6305912390473,5.15042197513312,10.2636098047675,67.1265572784816,70.6294639343438,3.5029066558622,1.25645631329613,6.19519155519621,0.530074181918966,0.894953319966773,7.40115587157457,0,263.150054456029,24.9474126338924,24.9998720777881,0.662730899739673,9.56868507307206,0,26.5096193135031,0.0315736493444343,52.2371400399739,52.2684827729956,-0.139705548476837,-2.11599483758855,-177.776220228515,214.548829164174,-0,16.2669675525314,0.0767891661107356,1,1,0.08001,NaN,1,0.04,52.2371400399737,52.2684827729956,0.0315736493444342,-2.11599483758853,-0.139705548476837,36.7726089356592,0,16.2669675525314,0.0767891661104727,1.98951966012828e-13,6.3948846218409e-14,9.71445146547012e-17,1.73194791841524e-14,0,0,2.62900812231237e-13,0.02,0.4198,0.013,0,0,NOT_EVALUABLE
C06_Amplitude_High,amplitude,60,50,50,60,50,50,0,4,6,0,0.01,0.00047,0.013,0.4198,26000,0.001,0.8,0.02286,0.01714,1e-06,3.06,0.0966666666666667,263.15,263.15,1e-05,0.04,0.08,0.04,0.08001,1,0,1.23680643469165,0,0,-60,60,0,60,0.5,4,-0.0145346703504218,59.0718154912884,23.8692725566884,4.71496304150632,59.6406011019498,77.5221404002542,17.8815392983044,11.1699375954436,32.1454984917648,0.487714105346966,0.9497901478315,3.4961432539428,0,263.150216660406,24.971392147402,24.999909553064,52.3773989709863,68.478350107432,0,67.1883140519341,2.49535011772206,168.608901579255,164.132543817238,0.0671429852086292,-8.83945202200968,-24.4782111355944,215.017624383669,0,30.3797443169587,1.91386465908619,1,1,0.08001,NaN,1,0.04,168.608901579255,164.132543817237,2.49535011772207,-8.83945202200966,0.0671429852086292,190.539413248074,-2.55795384873636e-13,30.3797443169587,1.91386465908738,2.8421709430404e-13,9.09494701772928e-13,1.06581410364015e-14,1.77635683940025e-14,0,0,1.19371179607697e-12,0.02,0.4198,0.013,0,0,NOT_EVALUABLE
C07_LimitId_Low,limiting,40,50,50,20,50,50,0,4,6,0,0.01,0.00047,0.013,0.4198,26000,0.001,0.8,0.02286,0.01714,1e-06,3.06,0.0966666666666667,263.15,263.15,1e-05,0.04,0.08,0.04,0.08001,1,0,2.00203145713679,0,0,-40,40,0,40,0.5,4,0.0639097911908096,39.7408008278413,13.7735407723578,7.57278822300397,63.2054281622221,73.9626875888486,10.7572594266265,5.49835831990364,16.8946964070023,0.498799588033883,0.949501193562048,3.50302513192063,0,263.150106688659,24.9566486683784,24.9998862666356,12.6913701810597,31.9152282522181,0,46.502857908744,0.604638884281071,100.916266775108,97.3460779688233,2.41530629174114,-4.5443054782467,-124.862999209503,216.577094435805,-0,19.4782354381237,0.550243630262585,1,1,0.08001,NaN,1,0.04,100.916266775108,97.3460779688231,0.604638884281072,-4.54430547824671,2.41530629174114,91.7140952263029,3.12638803734444e-13,19.4782354381237,0.550243630262656,9.9475983006414e-14,1.70530256582424e-13,7.7715611723761e-16,1.06581410364015e-14,0,0,7.105427357601e-14,0.02,0.4198,0.013,0,0,NOT_EVALUABLE
C08_LimitDuty_Low,limiting,40,50,50,40,50,25,0,4,6,0,0.01,0.00047,0.013,0.4198,26000,0.001,0.8,0.02286,0.01714,1e-06,3.06,0.0966666666666667,263.15,263.15,1e-05,0.04,0.08,0.04,0.08001,1,0,2.00203145713679,0,0,-40,40,0,40,0.5,4,0.0639097911908096,39.7408008278413,13.7735407723578,7.57278822300397,63.2054281622221,73.9626875888486,10.7572594266265,5.49835831990364,16.8946964070023,0.498799588033883,0.949501193562048,3.50302513192063,0,263.150106688659,24.9566486683784,24.9998862666356,12.6913701810597,31.9152282522181,0,46.502857908744,0.604638884281071,100.916266775108,97.3460779688233,2.41530629174114,-4.5443054782467,-124.862999209503,216.577094435805,-0,19.4782354381237,0.550243630262585,1,1,0.08001,NaN,1,0.04,100.916266775108,97.3460779688231,0.604638884281072,-4.54430547824671,2.41530629174114,91.7140952263029,3.12638803734444e-13,19.4782354381237,0.550243630262656,9.9475983006414e-14,1.70530256582424e-13,7.7715611723761e-16,1.06581410364015e-14,0,0,7.105427357601e-14,0.02,0.4198,0.013,0,0,NOT_EVALUABLE
C09_LimitMode_Active,limiting,40,50,50,40,50,50,0,3,6,0,0.01,0.00047,0.013,0.4198,26000,0.001,0.8,0.02286,0.01714,1e-06,3.06,0.0966666666666667,263.15,263.15,1e-05,0.04,0.08,0.04,0.08001,1,0,2.00203145713679,0,0,-40,40,0,40,0.5,4,0.0639097911908096,39.7408008278413,13.7735407723578,7.57278822300397,63.2054281622221,73.9626875888486,10.7572594266265,5.49835831990364,16.8946964070023,0.498799588033883,0.949501193562048,3.50302513192063,0,263.150106688659,24.9566486683784,24.9998862666356,12.6913701810597,31.9152282522181,0,46.502857908744,0.604638884281071,100.916266775108,97.3460779688233,2.41530629174114,-4.5443054782467,-124.862999209503,216.577094435805,-0,19.4782354381237,0.550243630262585,1,1,0.08001,NaN,1,0.04,100.916266775108,97.3460779688231,0.604638884281072,-4.54430547824671,2.41530629174114,91.7140952263029,3.12638803734444e-13,19.4782354381237,0.550243630262656,9.9475983006414e-14,1.70530256582424e-13,7.7715611723761e-16,1.06581410364015e-14,0,0,7.105427357601e-14,0.02,0.4198,0.013,0,0,NOT_EVALUABLE
