frequency_Hz,duty,I_branch_rms_A,I_branch_peak_A,I_motor_rms_A,I_motor_peak_A,SOC_end,E_ocv_end_V,T_end_C,P_bat_ohmic_end_W,P_motor_cu_end_W,dTdt_end_C_per_min,motor_rms_margin_ref,motor_peak_margin_ref
500,0.4,1873.8934702356876,2721.122646723078,1873.8934702356876,2721.122646723078,0.4999762923742279,637.4387861695604,-19.982073803183823,2939588.243712457,148090.08784445625,141.78072120705562,0.29350654598888387,0.2859114053300425
500,0.5,1600.7972810641854,2545.315065805161,1600.7972810641854,2545.315065805161,0.4999803916488207,637.4389960524195,-19.986926844542296,2572015.627333248,129572.57568429461,124.05215527649783,0.3435787944582018,0.30565960593719066
500,0.6,1317.3663874825158,2302.984947838542,1317.3663874825158,2302.984947838542,0.49998445592344515,637.4392041432803,-19.991155034818576,2105583.499443049,106074.73548831482,101.55544353403002,0.4174996456764384,0.3378224424480885
800,0.4,1780.0769156340768,2472.074714586298,1780.0769156340768,2472.074714586298,0.4999855948277229,637.4392624551793,-19.989884107092223,2426127.89761528,122223.06788993852,117.01577986837574,0.3089754128989903,0.3147154070261175
800,0.5,1498.563320671121,2236.1126592267847,1498.563320671121,2236.1126592267847,0.4999880898777865,637.4393902017425,-19.992832400131107,1985065.5488336335,100003.3022082435,95.74268646783487,0.3670181916328277,0.3479252249611704
800,0.6,1213.3874945427958,1948.1885309658492,1213.3874945427958,1948.1885309658492,0.499990556889266,637.4395165127304,-19.995302526984034,1506789.1052181888,75908.77104373746,72.6746993729967,0.4532764697787164,0.3993453342086418
1000,0.4,1739.4691798129254,2364.664005338146,1739.4691798129254,2364.664005338146,0.49998868279411357,637.4394205590586,-19.992270086165405,2219879.435682312,111832.71716283688,107.06811314124676,0.3161884133291461,0.3290108016376501
1000,0.5,1458.0781701284313,2110.2438706825737,1458.0781701284313,2110.2438706825737,0.4999906436363928,637.4395209541833,-19.994569467761664,1767892.2899200884,89062.58387506742,85.26809801873476,0.3772088570200283,0.36867776791520795
1000,0.6,1174.5012043018053,1811.2277308770886,1174.5012043018053,1811.2277308770886,0.499992580571878,637.43962012528,-19.996477133981074,1302376.7195599724,65610.91786196335,62.815585172682596,0.46828389616420474,0.42954289332973766
1250,0.4,1698.0305053810134,2270.3947853556906,1698.0305053810134,2270.3947853556906,0.49999114861240646,637.4395468089551,-19.99410692357722,2046412.915104014,103093.84962740625,98.70156708050699,0.323904663819092,0.34267168204322446
1250,0.5,1418.7896882850239,2002.1388846730154,1418.7896882850239,2002.1388846730154,0.49999268268734504,637.439625353592,-19.99588633462278,1591398.3650673232,80171.20227039412,76.75553386897505,0.3876543539478483,0.3885844313577982
1250,0.6,1138.7329522076689,1696.9601848677185,1138.7329522076689,1696.9601848677185,0.49999419702891224,637.4397028878802,-19.997350304451942,1143230.5260034339,57593.477380525626,55.13972677935793,0.4829929606706397,0.4584668555795531
1500,0.4,1661.24201072222,2203.3916663160535,1661.24201072222,2203.3916663160535,0.4999927902666047,637.4396308616501,-19.99529984773008,1927409.1295708409,97098.6967038207,92.96183880192335,0.3310775892074203,0.3530920135051487
1500,0.5,1385.3309415197555,1926.5721513259116,1385.3309415197555,1926.5721513259116,0.4999940402188436,637.4396948592048,-19.99673187878267,1473537.0609430268,74233.60508529103,71.07090798898548,0.3970170473465576,0.4038260386274983
1500,0.6,1109.5172213307928,1618.6507650748138,1109.5172213307928,1618.6507650748138,0.4999952735460904,637.4397580055597,-19.99790390161371,1040152.0288130802,52400.605985545604,50.168097004533585,0.495711097967737,0.4806472259406994
2000,0.4,1593.1895834281825,2112.9382952509013,1593.1895834281825,2112.9382952509013,0.4999948388044238,637.4397357467865,-19.99675796723767,1772409.7710965006,89290.1647907557,85.48599056286858,0.3452194300797051,0.36820762903898063
2000,0.5,1325.7820756789706,1827.1639363860727,1325.7820756789706,1827.1639363860727,0.49999573448825513,637.4397816057985,-19.997755238139604,1325395.63602065,66770.56100859697,63.92582673944353,0.4148494764634145,0.42579649505276335
2000,0.6,1059.2134706208717,1517.4389591984639,1059.2134706208717,1517.4389591984639,0.4999966173692465,637.4398268093054,-19.998567306421677,914140.534972647,46052.41989786634,44.09037452501814,0.5192532150083121,0.5127059611089413
